Location name,Amount spent (TRY)
Adana Province,2725
Adıyaman Province,185
Afyonkarahisar Province,479
Aksaray Province,389
Amasya Province,≤100
Ankara Province,3702
Antalya Province,1425
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,508
Ağrı Province,≤100
Balıkesir Province,795
Bartın Province,≤100
Batman Province,162
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,115
Burdur Province,≤100
Bursa Province,1353
Denizli Province,460
Diyarbakır Province,299
Düzce Province,136
Edirne Province,≤100
Elazığ Province,157
Erzincan Province,≤100
Erzurum Province,290
Eskişehir Province,769
Gaziantep Province,741
Giresun Province,204
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,674
Isparta Province,206
Istanbul Province,9507
Iğdır Province,≤100
Kahramanmaraş Province,348
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,108
Kayseri Province,505
Kilis Province,≤100
Kocaeli Province,516
Konya Province,1218
Kütahya Province,195
Kırklareli Province,105
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,211
Manisa Province,1223
Mardin Province,173
Mersin Province,902
Muğla Province,434
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,115
Ordu Province,252
Osmaniye Province,165
Rize Province,117
Sakarya Province,192
Samsun Province,712
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,209
Tekirdağ Province,316
Tokat Province,159
Trabzon Province,280
Tunceli Province,≤100
Unknown,≤100
Uşak Province,166
Van Province,162
Yalova Province,102
Yozgat Province,101
Zonguldak Province,213
Çanakkale Province,792
Çankırı Province,≤100
Çorum Province,146
İzmir Province,2152
Şanlıurfa Province,434
Şırnak Province,≤100
