Location name,Amount spent (PEN)
Amazonas Region,118
Ancash Region,561
Apurímac Region,137
Arequipa Region,590
Ayacucho Region,239
Cajamarca Region,505
Callao,679
Cusco Region,518
Huancavelica Region,≤100
Huánuco Region,265
Ica Region,530
Junín Region,482
La Libertad Region,899
Lambayeque Region,651
Lima Region,4283
Loreto Region,462
Madre de Dios Region,110
Moquegua Region,112
Pasco Region,≤100
Piura Region,950
Puno Region,505
San Martín Region,390
Tacna Region,183
Tumbes Region,152
Ucayali Region,296
Unknown,≤100
