Location name,Amount spent (EUR)
Burgenland,202
Carinthia,472
Lower Austria,1215
Salzburg,417
Styria,1279
Tyrol,470
Unknown,≤100
Upper Austria,1382
Vienna,2394
Vorarlberg,382
