Location name,Amount spent (PYG)
Alto Paraguay Department,10166
Alto Paraná Department,1411707
Amambay Department,288680
Asunción,1637664
Boquerón department,52865
Caaguazú Department,746537
Caazapá Department,150707
Canindeyú Department,122208
Central Department,4159138
Concepción Department (Paraguay),131331
Cordillera Department,219895
Guairá Department,119773
Itapúa Department,843972
Misiones Department,274576
Paraguarí Department,149034
Presidente Hayes Department,85754
San Pedro Department,194121
Unknown,477
Ñeembucú Department,199418
