Location name,Amount spent (IDR)
Aceh,784953
Bali,1880270
Bangka–Belitung Islands,361381
Banten,2821575
Bengkulu,810841
Central Java,7640015
Central Kalimantan,823329
Central Sulawesi,1135529
East Java,11335530
East Kalimantan,1927055
East Nusa Tenggara,1652737
Gorontalo,610744
Jakarta,4852044
Jambi,1043064
Lampung,1835431
Maluku,818313
North Kalimantan,265884
North Maluku,593621
North Sulawesi,2029185
North Sumatra,4006559
Papua (province),1163233
Riau,2206091
Riau Islands Province,864422
South Kalimantan,1055825
South Sulawesi,2446543
South Sumatra,2187155
Southeast Sulawesi,778782
Special Region of Yogyakarta,1211695
Unknown,6601
West Java,10100784
West Kalimantan,1526727
West Nusa Tenggara,1703696
West Papua,630274
West Sulawesi,417941
West Sumatra,1248887
