Location name,Amount spent (JPY)
Aichi Prefecture,17738
Akita Prefecture,2126
Aomori Prefecture,1888
Chiba Prefecture,23528
Ehime Prefecture,3469
Fukui Prefecture,1552
Fukuoka Prefecture,48558
Fukushima Prefecture,3310
Gifu Prefecture,3776
Gunma Prefecture,4974
Hiroshima Prefecture,6938
Hokkaido,12775
Hyōgo Prefecture,14764
Ibaraki Prefecture,6587
Ishikawa Prefecture,2598
Iwate Prefecture,2347
Kagawa Prefecture,2167
Kagoshima Prefecture,2482
Kanagawa Prefecture,43547
Kumamoto Prefecture,3956
Kyoto Prefecture,14338
Kōchi Prefecture,1237
Mie Prefecture,3554
Miyagi Prefecture,9625
Miyazaki Prefecture,2213
Nagano Prefecture,5518
Nagasaki Prefecture,3729
Nara Prefecture,3382
Niigata Prefecture,4225
Okayama Prefecture,3664
Okinawa Prefecture,7269
Osaka Prefecture,28148
Saga Prefecture,2499
Saitama Prefecture,22570
Shiga Prefecture,3335
Shimane Prefecture,1456
Shizuoka Prefecture,8069
Tochigi Prefecture,3755
Tokushima Prefecture,1499
Tokyo,108959
Tottori Prefecture,1142
Toyama Prefecture,2069
Unknown,≤100
Wakayama Prefecture,1903
Yamagata Prefecture,1787
Yamaguchi Prefecture,2341
Yamanashi Prefecture,1853
Ōita Prefecture,4000
