Location name,Amount spent (INR)
Andaman and Nicobar Islands,783
Andhra Pradesh,116488
Arunachal Pradesh,954
Assam,12772
Bihar,34269
Chandigarh,1858
Chhattisgarh,22474
Dadra and Nagar Haveli,668
Delhi,36853
Goa,3336
Gujarat,44078
Haryana,29245
Himachal Pradesh,12036
Jammu and Kashmir,5571
Jharkhand,11886
Karnataka,176896
Kerala,15794
Lakshadweep,≤100
Madhya Pradesh,52445
Maharashtra,139248
Manipur,1916
Meghalaya,1814
Mizoram,608
Nagaland,857
Odisha,15883
Puducherry,2709
Punjab region,30931
Rajasthan,137665
Sikkim,495
Tamil Nadu,84720
Telangana,46451
Tripura,1686
Unknown,≤100
Uttar Pradesh,102682
Uttarakhand,8597
West Bengal,32874
