Location name,Amount spent (CLP)
Antofagasta Region,769169
Araucanía Region,640057
Arica y Parinacota Region,393717
Atacama Region,396817
Aysén Region,243446
Bío Bío Region,1684423
Coquimbo Region,951153
Los Lagos Region,1138083
Los Ríos Region,306990
Magallanes y la Antártica Chilena Region,492092
Maule Region,2075792
O'Higgins Region,1184933
Santiago Metropolitan Region,7954816
Tarapacá Region,476003
Unknown,761
Valparaíso Region,2572650
