Location name,Amount spent (CZK)
Central Bohemian Region,10623
Hradec Králové Region,4762
Karlovy Vary Region,2765
Liberec Region,3621
Moravian-Silesian Region,9518
Olomouc Region,5200
Pardubice Region,4367
Plzeň Region,5800
Prague,24468
South Bohemian Region,4740
South Moravian Region,12308
Unknown,≤100
Vysočina Region,3718
Zlín Region,5246
Ústí nad Labem Region,8584
