Location name,Amount spent (DKK)
Capital Region of Denmark,52236
Central Denmark Region,39955
Faroe Islands,103
Greenland,≤100
North Denmark Region,15481
Region of Southern Denmark,32061
Unknown,≤100
Zealand Region,20388
