Location name,Amount spent (HUF)
Baranya County,89354
Borsod-Abaúj-Zemplén County,103304
Budapest,449103
Bács-Kiskun County,78753
Békés County,55674
Csongrád County,69698
Fejér County,69013
Győr-Moson-Sopron County,73263
Hajdú-Bihar County,84817
Heves County,62970
Jász-Nagykun-Szolnok County,110526
Komárom-Esztergom County,52024
Nógrád County,28136
Pest County,186295
Somogy County,46208
Szabolcs-Szatmár-Bereg County,74822
Tolna County,35049
Unknown,≤100
Vas County,40755
Veszprém County,53086
Zala County,42934
