Location name,Amount spent (IDR)
Aceh,327025
Bali,849843
Bangka–Belitung Islands,193450
Banten,1542039
Bengkulu,261285
Central Java,5085252
Central Kalimantan,306996
Central Sulawesi,369993
East Java,7051610
East Kalimantan,630637
East Nusa Tenggara,1231642
Gorontalo,301276
Jakarta,2851021
Jambi,359980
Lampung,1381550
Maluku,208184
North Kalimantan,93693
North Maluku,144202
North Sulawesi,1136090
North Sumatra,2910511
Papua (province),345966
Riau,1048577
Riau Islands Province,395404
South Kalimantan,326690
South Sulawesi,1215433
South Sumatra,1349378
Southeast Sulawesi,248481
Special Region of Yogyakarta,825118
Unknown,3458
West Java,4888971
West Kalimantan,974276
West Nusa Tenggara,695156
West Papua,166239
West Sulawesi,146246
West Sumatra,406503
