Location name,Amount spent (DKK)
Capital Region of Denmark,46817
Central Denmark Region,22789
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9462
Region of Southern Denmark,20796
Unknown,915
Zealand Region,12860
