Location name,Amount spent (COP)
Amazonas,979
Antioquia,6377057
Arauca,9810
Atlantico,1267892
Bolivar,209918
Boyaca,358200
Caldas,734932
Caqueta,48839
Casanare,248393
Cauca,129162
Cesar,137219
Choco,25869
Cordoba,370722
Cundinamarca,778196
Distrito Especial,3037543
Guainia,605
Guaviare,65182
Huila,261610
La Guajira,72009
Magdalena,92883
Meta,317761
Narino,77412
Norte de Santander,284460
Putumayo,361139
Quindio,102289
Risaralda,484328
San Andres y Providencia,418526
Santander,1105015
Sucre,79012
Tolima,273975
Unknown,757
Valle del Cauca,2717553
Vaupes,226
Vichada,338
