Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,214
Cerro Largo Department,112
Colonia Department,131
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,247
Montevideo Department,1077
Paysandú Department,1115
Rivera Department,153
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,118
Unknown,≤100
