Location name,Amount spent (CHF)
Aargau,≤100
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,≤100
Basel-Landschaft,≤100
Bern,374
Canton of Geneva,1077
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,376
Fribourg,130
Graubünden,≤100
Jura,≤100
Luzern,221
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,115
Solothurn,≤100
Thurgau,≤100
Ticino,200
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,142
Zug,≤100
Zürich,312
