Location name,Amount spent (PYG)
Alto Paraguay Department,730
Alto Paraná Department,343409
Amambay Department,12288
Asunción,409588
Boquerón department,1804
Caaguazú Department,98754
Caazapá Department,4391
Canindeyú Department,18698
Central Department,1522091
Concepción Department (Paraguay),28919
Cordillera Department,40423
Guairá Department,15355
Itapúa Department,48226
Misiones Department,41279
Paraguarí Department,13055
Presidente Hayes Department,16402
San Pedro Department,12496
Unknown,≤100
Ñeembucú Department,2170
