Location name,Amount spent (ISK)
Capital Region,54660
Eastern Region,1884
Northeastern Region,4806
Northwestern Region,927
Southern Peninsula,4127
Southern Region,4824
Unknown,≤100
Western Region,974
Westfjords,797
