Location name,Amount spent (RON)
Alba County,629
Arad County,341
Argeș County,396
Bacău County,369
Bihor County,652
Bistrița-Năsăud County,210
Botoșani County,219
Brașov County,502
Brăila County,191
Bucharest,1889
Buzău County,243
Caraș-Severin County,184
Cluj County,823
Constanța County,456
Covasna County,162
Călărași County,223
Dolj County,359
Dâmbovița County,429
Galați County,357
Giurgiu County,643
Gorj County,370
Harghita County,274
Hunedoara County,533
Ialomița County,423
Iași County,1500
Ilfov County,330
Maramureș County,346
Mehedinți County,161
Mureș County,549
Neamț County,491
Olt County,198
Prahova County,609
Satu Mare County,217
Sibiu County,276
Suceava County,423
Sălaj County,147
Teleorman County,169
Timiș County,576
Tulcea County,115
Unknown,≤100
Vaslui County,199
Vrancea County,195
Vâlcea County,255
