Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
271965666532069,Fight Inequality Alliance,Yvonne Carol Wanjiku Ndirangu,5051,1
223287104715778,Oxfam,Oxfam,3104,4
590244531002882,Hon. Adan Keynan Wehliye,Yusuf Hashi Duale,2046,1
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,1472,1
227862171115022,Better4Kenya,W.R.T.H.C LLC (hive),978,2
173541046342015,Ongoza,These ads ran without a disclaimer,806,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,366,4
158714780827513,UNFPA,These ads ran without a disclaimer,210,7
101414459084910,Stephen Munania,Stephen Munania,202,1
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,160,1
565225540184937,CGTN,These ads ran without a disclaimer,122,1
509697052435715,Ampath Kenya,These ads ran without a disclaimer,122,1
106040632323681,Agenda Kenya,These ads ran without a disclaimer,≤100,1
204740833658478,Exness careers,These ads ran without a disclaimer,≤100,2
1182128755219778,Japan Forward,These ads ran without a disclaimer,≤100,1
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,1
635280273327399,Africa SANTE  EXPO ex: Pharmafrica Expo,These ads ran without a disclaimer,≤100,1
100311291847776,Gender-Based Violence Area of Responsibility,These ads ran without a disclaimer,≤100,1
191347651290,China Daily,These ads ran without a disclaimer,≤100,1
110387038264357,Viral In World,These ads ran without a disclaimer,≤100,1
1626877920864508,Vodafone Foundation,These ads ran without a disclaimer,≤100,1
459858467436599,ATL All Day,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
223287104715778,Oxfam,These ads ran without a disclaimer,≤100,6
