Location name,Amount spent (HUF)
Baranya County,82512
Borsod-Abaúj-Zemplén County,111131
Budapest,512996
Bács-Kiskun County,93592
Békés County,67678
Csongrád County,116113
Fejér County,88215
Győr-Moson-Sopron County,94263
Hajdú-Bihar County,93445
Heves County,65558
Jász-Nagykun-Szolnok County,69954
Komárom-Esztergom County,59678
Nógrád County,34597
Pest County,198378
Somogy County,62827
Szabolcs-Szatmár-Bereg County,103645
Tolna County,42942
Unknown,112
Vas County,66556
Veszprém County,65490
Zala County,60391
