Location name,Amount spent (PKR)
Azad Kashmir,1716
Balochistan,2565
Federally Administered Tribal Areas,508
Gilgit-Baltistan,1147
Islamabad Capital Territory,9706
Khyber Pakhtunkhwa,14944
Punjab,60218
Sindh,27176
Unknown,≤100
