Location name,Amount spent (DKK)
Capital Region of Denmark,25403
Central Denmark Region,11977
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5004
Region of Southern Denmark,10334
Unknown,≤100
Zealand Region,7252
