Location name,Amount spent (PKR)
Azad Kashmir,814
Balochistan,1611
Federally Administered Tribal Areas,172
Gilgit-Baltistan,337
Islamabad Capital Territory,1438
Khyber Pakhtunkhwa,6440
Punjab,27423
Sindh,8396
Unknown,≤100
