Location name,Amount spent (JPY)
Aichi Prefecture,13819
Akita Prefecture,982
Aomori Prefecture,1177
Chiba Prefecture,22114
Ehime Prefecture,2256
Fukui Prefecture,1334
Fukuoka Prefecture,41382
Fukushima Prefecture,2611
Gifu Prefecture,3337
Gunma Prefecture,3349
Hiroshima Prefecture,4587
Hokkaido,8484
Hyōgo Prefecture,11770
Ibaraki Prefecture,4460
Ishikawa Prefecture,1864
Iwate Prefecture,1627
Kagawa Prefecture,1806
Kagoshima Prefecture,2139
Kanagawa Prefecture,34902
Kumamoto Prefecture,3165
Kyoto Prefecture,12393
Kōchi Prefecture,953
Mie Prefecture,2939
Miyagi Prefecture,7179
Miyazaki Prefecture,1557
Nagano Prefecture,3779
Nagasaki Prefecture,3174
Nara Prefecture,2710
Niigata Prefecture,2890
Okayama Prefecture,3089
Okinawa Prefecture,6106
Osaka Prefecture,22041
Saga Prefecture,2272
Saitama Prefecture,17015
Shiga Prefecture,2592
Shimane Prefecture,1797
Shizuoka Prefecture,6930
Tochigi Prefecture,2963
Tokushima Prefecture,1012
Tokyo,94107
Tottori Prefecture,719
Toyama Prefecture,1772
Unknown,≤100
Wakayama Prefecture,1302
Yamagata Prefecture,2463
Yamaguchi Prefecture,2147
Yamanashi Prefecture,1680
Ōita Prefecture,2692
