Location name,Amount spent (JPY)
Aichi Prefecture,75759
Akita Prefecture,30098
Aomori Prefecture,3210
Chiba Prefecture,117129
Ehime Prefecture,49778
Fukui Prefecture,20343
Fukuoka Prefecture,167406
Fukushima Prefecture,4792
Gifu Prefecture,10075
Gunma Prefecture,16516
Hiroshima Prefecture,11704
Hokkaido,24240
Hyōgo Prefecture,38994
Ibaraki Prefecture,11606
Ishikawa Prefecture,6047
Iwate Prefecture,3278
Kagawa Prefecture,17054
Kagoshima Prefecture,11260
Kanagawa Prefecture,77887
Kumamoto Prefecture,12720
Kyoto Prefecture,129171
Kōchi Prefecture,2163
Mie Prefecture,38676
Miyagi Prefecture,13382
Miyazaki Prefecture,4999
Nagano Prefecture,37829
Nagasaki Prefecture,15979
Nara Prefecture,7768
Niigata Prefecture,7871
Okayama Prefecture,9315
Okinawa Prefecture,6682
Osaka Prefecture,189526
Saga Prefecture,38851
Saitama Prefecture,49355
Shiga Prefecture,8241
Shimane Prefecture,7140
Shizuoka Prefecture,18673
Tochigi Prefecture,41615
Tokushima Prefecture,3134
Tokyo,178054
Tottori Prefecture,1170
Toyama Prefecture,4430
Unknown,≤100
Wakayama Prefecture,9578
Yamagata Prefecture,20590
Yamaguchi Prefecture,3885
Yamanashi Prefecture,2249
Ōita Prefecture,15106
