Location name,Amount spent (EUR)
Carlow,≤100
Cavan,≤100
County Clare,≤100
County Cork,518
County Laois,≤100
County Leitrim,≤100
County Longford,≤100
County Louth,171
County Mayo,113
County Meath,178
County Monaghan,≤100
County Offaly,≤100
County Tipperary,127
County Westmeath,≤100
Donegal,151
Dublin,1965
Galway,248
Kerry,149
Kildare,197
Kilkenny,≤100
Limerick,183
Roscommon,≤100
Sligo,≤100
Unknown,≤100
Waterford,116
Wexford,137
Wicklow,152
