Location name,Amount spent (VND)
An Giang Province,87131
Bà Rịa–Vũng Tàu Province,182471
Bình Dương Province,252177
Bình Phước Province,122817
Bình Thuận Province,137786
Bình Định Province,105164
Bạc Liêu Province,59955
Bắc Giang Province,309590
Bắc Kạn Province,43395
Bắc Ninh Province,188629
Bến Tre Province,70270
Cao Bằng Province,71966
Cà Mau Province,109133
Cần Thơ,68538
Da Nang,117738
Gia Lai Province,164699
Haiphong,356604
Ho Chi Minh City,1673786
Hà Giang Province,47624
Hà Nam Province,133120
Hà Tĩnh Province,244013
Hòa Bình Province,111619
Hưng Yên Province,235431
Hải Dương Province,270962
Hậu Giang Province,33677
Khánh Hòa Province,170071
Kiên Giang Province,102304
Kon Tum Province,81621
Lai Châu Province,11682
Long An Province,124183
Lào Cai Province,88742
Lâm Đồng Province,209598
Lạng Sơn Province,112655
Nam Định Province,187260
Nghệ An Province,424028
Ninh Bình Province,87150
Ninh Thuận Province,61317
Phú Thọ Province,287773
Phú Yên Province,77219
Quảng Bình Province,101992
Quảng Nam Province,110996
Quảng Ngãi Province,186622
Quảng Ninh Province,209234
Quảng Trị Province,89737
Sóc Trăng Province,54067
Sơn La Province,143868
Thanh Hóa Province,318622
Thái Bình Province,235939
Thái Nguyên Province,218927
Thừa Thiên–Huế Province,108435
Tiền Giang Province,108476
Trà Vinh Province,69184
Tuyên Quang Province,247429
Tây Ninh Province,117718
Unknown,118
Vĩnh Long Province,63093
Vĩnh Phúc Province,155565
Yên Bái Province,155534
Điện Biên Province,74591
Đắk Lắk Province,220535
Đắk Nông Province,82940
Đồng Nai Province,380616
Đồng Tháp Province,149693
