Location name,Amount spent (CZK)
Central Bohemian Region,7096
Hradec Králové Region,2592
Karlovy Vary Region,1605
Liberec Region,1970
Moravian-Silesian Region,6116
Olomouc Region,3459
Pardubice Region,2471
Plzeň Region,4122
Prague,12195
South Bohemian Region,3019
South Moravian Region,8723
Unknown,≤100
Vysočina Region,2638
Zlín Region,3472
Ústí nad Labem Region,4704
