Location name,Amount spent (EUR)
Blagoevgrad Province,312
Burgas Province,391
Dobrich Province,145
Gabrovo Province,≤100
Haskovo Province,163
Kardzhali Province,≤100
Kyustendil Province,≤100
Lovech Province,≤100
Montana Province,≤100
Pazardzhik Province,198
Pernik Province,109
Pleven Province,207
Plovdiv Province,652
Razgrad Province,216
Ruse Province,212
Shumen Province,121
Silistra Province,≤100
Sliven Province,184
Smolyan Province,≤100
Sofia City Province,1625
Sofia Province,164
Stara Zagora Province,353
Targovishte Province,106
Unknown,≤100
Varna Province,464
Veliko Tarnovo Province,297
Vidin Province,≤100
Vratsa Province,173
Yambol Province,115
