Location name,Amount spent (IDR)
Aceh,686381
Bali,1629767
Bangka–Belitung Islands,324017
Banten,2173152
Bengkulu,621837
Central Java,6681009
Central Kalimantan,705434
Central Sulawesi,779626
East Java,7136979
East Kalimantan,1415278
East Nusa Tenggara,1523595
Gorontalo,605822
Jakarta,4233108
Jambi,772712
Lampung,1411591
Maluku,502046
North Kalimantan,219817
North Maluku,441913
North Sulawesi,1657661
North Sumatra,4219102
Papua (province),668620
Riau,1824060
Riau Islands Province,774026
South Kalimantan,776525
South Sulawesi,1836758
South Sumatra,1697016
Southeast Sulawesi,631146
Special Region of Yogyakarta,845572
Unknown,5498
West Java,9186121
West Kalimantan,1716619
West Nusa Tenggara,1465530
West Papua,339939
West Sulawesi,358529
West Sumatra,1350559
