Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,145
Apurímac Region,≤100
Arequipa Region,152
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,133
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,117
Junín Region,≤100
La Libertad Region,201
Lambayeque Region,≤100
Lima Region,989
Loreto Region,201
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,234
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
