Location name,Amount spent (GTQ)
Alta Verapaz Department,2418
Baja Verapaz Department,332
Chimaltenango Department,1489
Chiquimula Department,1942
El Progreso Department,362
Escuintla Department,1405
Guatemala Department,19011
Huehuetenango Department,3480
Izabal Department,863
Jalapa Department,461
Jutiapa Department,668
Petén Department,615
Quetzaltenango Department,2549
Quiché Department,2784
Retalhuleu Department,578
Sacatepéquez Department,1328
San Marcos Department,2922
Santa Rosa Department,674
Sololá Department,1046
Suchitepéquez Department,2823
Totonicapán Department,917
Unknown,≤100
Zacapa Department,510
