Location name,Amount spent (PKR)
Azad Kashmir,1110
Balochistan,1971
Federally Administered Tribal Areas,305
Gilgit-Baltistan,911
Islamabad Capital Territory,7756
Khyber Pakhtunkhwa,11086
Punjab,36470
Sindh,16003
Unknown,≤100
