Location name,Amount spent (USD)
Ad Dali' Governorate,≤100
Aden Governorate,≤100
Al Bayda Governorate,≤100
Al Hudaydah Governorate,≤100
Al Mahrah Governorate,≤100
Hadhramaut Governorate,≤100
Ibb Governorate,≤100
Ma'rib Governorate,≤100
Sana'a Governorate,≤100
Shabwah Governorate,≤100
Taiz Governorate,≤100
