Location name,Amount spent (INR)
Andaman and Nicobar Islands,193
Andhra Pradesh,95124
Arunachal Pradesh,1390
Assam,18426
Bihar,76743
Chandigarh,3475
Chhattisgarh,117518
Dadra and Nagar Haveli,606
Delhi,46811
Goa,3714
Gujarat,57075
Haryana,37707
Himachal Pradesh,12643
Jammu and Kashmir,7016
Jharkhand,18182
Karnataka,39808
Kerala,13167
Lakshadweep,≤100
Madhya Pradesh,288695
Maharashtra,173687
Manipur,377
Meghalaya,794
Mizoram,1570
Nagaland,647
Odisha,11217
Puducherry,609
Punjab region,39838
Rajasthan,340596
Sikkim,658
Tamil Nadu,71925
Telangana,101305
Tripura,1808
Unknown,≤100
Uttar Pradesh,110216
Uttarakhand,14678
West Bengal,35880
