Location name,Amount spent (KES)
Central Province,285
Coast Province,1475
Eastern Province,≤100
Nairobi,1393
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,521
Unknown,≤100
Western Province,≤100
