Location name,Amount spent (DKK)
Capital Region of Denmark,27142
Central Denmark Region,13554
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5631
Region of Southern Denmark,11868
Unknown,≤100
Zealand Region,7589
