Location name,Amount spent (CAD)
Alberta,6360
British Columbia,8918
Manitoba,6288
New Brunswick,1485
Newfoundland and Labrador,1226
Northwest Territories,192
Nova Scotia,1738
Nunavut,154
Ontario,30360
Prince Edward Island,273
Quebec,13568
Saskatchewan,1963
Unknown,≤100
Yukon,160
