Location name,Amount spent (VND)
An Giang Province,92253
Bà Rịa–Vũng Tàu Province,77427
Bình Dương Province,157704
Bình Phước Province,27148
Bình Thuận Province,51636
Bình Định Province,75021
Bạc Liêu Province,48617
Bắc Giang Province,146969
Bắc Kạn Province,27520
Bắc Ninh Province,116410
Bến Tre Province,74608
Cao Bằng Province,122060
Cà Mau Province,78386
Cần Thơ,76541
Da Nang,78492
Gia Lai Province,111086
Haiphong,107688
Ho Chi Minh City,567459
Hà Giang Province,82240
Hà Nam Province,50859
Hà Tĩnh Province,24911
Hòa Bình Province,54204
Hưng Yên Province,56832
Hải Dương Province,116068
Hậu Giang Province,29458
Khánh Hòa Province,101472
Kiên Giang Province,51768
Kon Tum Province,10063
Lai Châu Province,17050
Long An Province,98783
Lào Cai Province,51675
Lâm Đồng Province,73306
Lạng Sơn Province,79854
Nam Định Province,80133
Nghệ An Province,149485
Ninh Bình Province,35135
Ninh Thuận Province,22084
Phú Thọ Province,87087
Phú Yên Province,50597
Quảng Bình Province,36310
Quảng Nam Province,57877
Quảng Ngãi Province,34483
Quảng Ninh Province,43320
Quảng Trị Province,57874
Sóc Trăng Province,64723
Sơn La Province,132625
Thanh Hóa Province,207737
Thái Bình Province,120693
Thái Nguyên Province,220088
Thừa Thiên–Huế Province,51792
Tiền Giang Province,75474
Trà Vinh Province,51072
Tuyên Quang Province,66833
Tây Ninh Province,75165
Unknown,≤100
Vĩnh Long Province,37149
Vĩnh Phúc Province,64130
Yên Bái Province,52967
Điện Biên Province,77978
Đắk Lắk Province,120218
Đắk Nông Province,24546
Đồng Nai Province,143447
Đồng Tháp Province,80341
