Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
234659001772,Arbeiderpartiet,Arbeiderpartiet,9070,6
135843375926,UNICEF Norge,UNICEF Norge,9025,18
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,4228,23
371106536283235,DAG OG TID,Dag og Tid AS,3501,2
10953652930,Høyre,Høyre,3026,22
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,2112,34
1514635018793437,Nordmørslista,Nordmørslista,1734,3
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1505,3
54779960819,United Nations,United Nations with Facebook Ad Credits,1427,3
20468812735,LO,LO,1377,15
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1001,1
2398568533531114,Velferdsmiks,NHO Service og Handel,990,12
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,967,36
104643995545164,Folkestyret,FOLKESTYRET,878,18
108203984145752,Kruse Larsen,Kruse Larsen,856,6
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,809,4
113384899919,Noregs Mållag,Noregs Mållag,797,1
126448980866214,Klassekampen,Klassekampen,795,1
141589002521022,Oslo Høyre,Oslo Høyre,629,4
10254410675,Venstre,Venstre,625,8
536745556722065,Lillestrøm FrP,Lillestrøm FrP,602,3
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,550,1
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,455,1
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,454,1
1016410645059664,Mathias Bernander,Kristiansand Høyre,434,1
117756891616696,Moss FrP,Moss FrP,342,1
1868527676696422,Pasientskadeforeningen,Pasientskadeforeningen,321,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,306,7
201881833288298,Pårørendesenteret,Pårørendesenteret,274,44
105939782037295,Altinget.no,Altinget AS,270,4
63069821771,Naturviterne,Naturviterne - Fagforening med hjerte for bærekraft,267,3
119878348024795,ULOBA,Uloba - Independent Living Norge,256,20
171368929594037,Vestland Høgre,Vestland Høgre,253,2
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,240,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,234,2
111036919049229,Offshore Norge,Offshore Norge,230,2
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,225,1
329095637110085,FRANTZ AS,Frantz as,211,3
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal,202,1
102203325950193,Ingvild Lemme Kristiansen,Stendi,194,3
620408144801035,Vestnes Arbeiderparti,Vestnes Arbeiderparti,178,4
111322125898812,Filter Nyheter,Filter Nyheter,173,4
139808122732007,Sola Høyre,Sola Høyre,172,1
120374971332864,Kagge Forlag,Kagge Forlag,145,2
173739506066242,LO Internasjonalt,LO,142,13
21967399403,Cappelen Damm,Cappelen Damm,135,3
305979200266128,Silja Ekeland Bjørkly,Vestland Høgre,128,2
264422453584069,Naturviterne student,Naturviterne student,126,1
106000182295870,Bybanetunnel,Bybanetunnel,123,1
117840771633607,Nittedal FrP,Fremskrittspartiet,122,6
