Location name,Amount spent (UYU)
Artigas Department,121
Canelones Department,454
Cerro Largo Department,146
Colonia Department,227
Durazno Department,≤100
Flores Department,110
Florida Department,119
Lavalleja Department,≤100
Maldonado Department,340
Montevideo Department,2331
Paysandú Department,197
Rivera Department,696
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,535
San José Department,101
Soriano Department,121
Tacuarembó Department,131
Treinta y Tres Department,≤100
Unknown,≤100
