Location name,Amount spent (DKK)
Capital Region of Denmark,48925
Central Denmark Region,25908
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12466
Region of Southern Denmark,23837
Unknown,≤100
Zealand Region,15819
