Location name,Amount spent (CAD)
Alberta,16328
British Columbia,8070
Manitoba,3408
New Brunswick,1947
Newfoundland and Labrador,1187
Northwest Territories,270
Nova Scotia,1680
Nunavut,196
Ontario,20119
Prince Edward Island,330
Quebec,11917
Saskatchewan,2673
Unknown,≤100
Yukon,250
