Location name,Amount spent (HUF)
Baranya County,72383
Borsod-Abaúj-Zemplén County,102603
Budapest,411444
Bács-Kiskun County,84903
Békés County,58336
Csongrád County,67657
Fejér County,75682
Győr-Moson-Sopron County,74462
Hajdú-Bihar County,76561
Heves County,60904
Jász-Nagykun-Szolnok County,77208
Komárom-Esztergom County,50237
Nógrád County,28748
Pest County,178717
Somogy County,52583
Szabolcs-Szatmár-Bereg County,79750
Tolna County,41352
Unknown,≤100
Vas County,43048
Veszprém County,54333
Zala County,52379
