Location name,Amount spent (INR)
Andaman and Nicobar Islands,144
Andhra Pradesh,53682
Arunachal Pradesh,703
Assam,12855
Bihar,43731
Chandigarh,2159
Chhattisgarh,23020
Dadra and Nagar Haveli,743
Delhi,76962
Goa,3086
Gujarat,44848
Haryana,30188
Himachal Pradesh,10466
Jammu and Kashmir,6603
Jharkhand,14865
Karnataka,142381
Kerala,23065
Lakshadweep,≤100
Madhya Pradesh,71422
Maharashtra,140438
Manipur,194
Meghalaya,6709
Mizoram,1024
Nagaland,2376
Odisha,13374
Puducherry,1700
Punjab region,45769
Rajasthan,191632
Sikkim,798
Tamil Nadu,81116
Telangana,62818
Tripura,1443
Unknown,3465
Uttar Pradesh,193496
Uttarakhand,10083
West Bengal,76749
