Location name,Amount spent (MXN)
Aguascalientes,5929
Baja California,21909
Baja California Sur,3517
Campeche,5900
Chiapas,15654
Chihuahua,29099
Coahuila de Zaragoza,43458
Colima,11518
Distrito Federal,108840
Durango,5805
Guanajuato,30145
Guerrero,11095
Hidalgo,5637
Jalisco,130952
Michoacán de Ocampo,15333
Morelos,7823
Nayarit,5927
Nuevo León,165647
Oaxaca,6834
Puebla,25644
Querétaro Arteaga,17956
Quintana Roo,6972
San Luis Potosi,10781
Sinaloa,11534
Sonora,25960
State of Mexico,131971
Tabasco,11021
Tamaulipas,19524
Tlaxcala,4079
Unknown,≤100
Veracruz,18484
Yucatán,16218
Zacatecas,3130
