Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
986478178136878,BJP Tripura,Bharatiya Janata Party,235486,48
953600271404690,BJP Meghalaya,Bharatiya Janata Party,165022,155
102377305543409,AITC Meghalaya,Indian Political Action Committee,78974,144
109141098395573,Inclusive Minds,Inclusive Minds,57061,2
110157505314549,Bhumireddy Ramagopal Reddy,Bhumireddy Ramagopal Reddy,42369,3
404746486258732,Project Nanhi Kali,Project Nanhi Kali,40643,30
326102339565,Oxfam India,Oxfam India,39251,22
652657388214939,BJP Nagaland,Bharatiya Janata Party (BJP),37831,61
426954117660096,Indian National Congress - Tripura,Indian National Congress - Tripura,32847,39
21169267101,Give,Give,29357,17
568928239883450,The Times Of A Better India,The Times Of A Better India,26216,4
107395897271506,Kutumb,Swatantra Verma,22542,31
104516512296314,Kartikeya Sharma,Adv Tech,17852,39
105671775473178,Jan Suraaj,Jan Suraaj,15284,65
101512282514626,Pintu Sarkar,Pintu Sarkar,14207,20
113364544766243,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್,CongressKallekai.com,12210,8
1954072204870360,NEWJ,Anant Bhardwaj,11858,10
170484126349815,Indian Cancer Society,Indian Cancer Society,10356,4
106578740869914,Karnataka Skill Development Corporation,asthra digi tech - ADT,10300,4
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),10144,35
2108726996065900,Bhawani Singh Rundal,Pawan Kumar Sharma,10129,10
109986065209042,Mera Apna Rahul,MeraApnaRahul,9904,77
174283119250672,Save the Children India,Bal Raksha Bharat,9816,40
295405070641302,Balraj Kundu,Pankaj Sharma,9555,33
100113008488735,Eknath Shinde FC,Eknath Shinde FC,8308,2
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,7861,10
100626912687369,Kai Yerisi Karunadigagi - ಕೈ ಏರಿಸಿ ಕರುನಾಡಿಗಾಗಿ,Kai Yerisi  Karunadigagi,7580,41
479998865355592,Aditya Birla Group,Aditya Birla Group,7543,4
270666596375251,Jhatkaa.org,Jhatkaa.org,7455,40
30290552843,Greenpeace India,Greenpeace India Society,7205,26
442710802417591,Baljeet Yadav,Baljeet Yadav,7046,4
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,6981,12
103782051383159,School of Politics,School of Politics,6322,15
118651501493980,We Support Swapnil Kothari Sir,We Support Swapnil Kothari Sir,6113,2
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,6095,11
206756829376811,BJP Delhi,BJP Delhi,6055,38
520972198086866,BJP Punjab,Bharatiya Janata Party,6044,21
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,5978,33
100204332997540,5 Star Meghalaya,Design Boxed,5534,13
112982334954590,Inferno Analytics,Inferno Analytics,5520,48
574023586326385,"Abhijit Wanjarri, MLC",Zaid Ahmed Khan,5453,8
108861325372008,Bharat Bhagya Vidhata,BharatBhagyaVidhata,5428,11
251971332383556,Yashveer Shoora,Mukesh Kumar Yadav,5379,9
105383818950504,T Thimmegowda,Vijay S,5102,1
104656344931338,Pravesh Agrawal,Swanit Infotech,5022,2
100593012792684,Keerthan Kumar,Keerthan Kumar,4706,4
1667882310017329,Navbharat Gold,These ads ran without a disclaimer,4601,1
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,4573,8
2078242259060363,Kukufm,Mohana Saha,4537,23
121970731329322,Political Tamaasha,Ritesh Bhimrao Bhagat,4172,2
804538566410307,Sudhindar Moond,Rohit Githala,4166,25
181032549148843,Dr. Ashwathnarayan Fan Club,Vinay Simha Krishna,4155,2
247698975430137,Basava Nadina Bhagiratha,Venkataramappa Ramesh,4152,5
148200615837635,Malur ES EN Krisshnaiah Setty,Malur ES EN Krisshnaiah Setty,4101,16
100560335965049,The Pamphlet,The Pamphlet,4081,5
296002831234834,Swapnil Kothari,Swapnil Kothari,4014,2
107395897271506,Kutumb,Kutumb App,3946,4
100476749640269,Saurabh Goswami,nirvachanguru,3763,7
165714096933078,Piyush Goyal,Piyush Goyal,3720,2
1235786446534273,Ajeet Patil Kavhekar,Rahul Rajendra Birajdar,3652,6
797536650260281,कात्रज विकास आघाडी,कात्रज विकास आघाडी,3586,10
411129449009589,K.C. Venugopal,K.C.Venugopal,3516,9
108366798238330,Haryana Affordable Housing Scheme,Arpit Mittal,3324,2
505327936635830,Ashok Chandak,Coceptual Media,3302,45
547354238619670,Dr. Ashwath Narayan,Vijay S,3262,3
474751009223949,Jaipur Literature Festival,Teamwork Arts Private Limited,3249,4
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,3233,2
106932525621052,T H Suresh Babu Followers,Bharath Raj,3219,4
1437285613167585,Dr Sujay Vikhe Patil,Aniket Vijay Late,3142,6
103251851710926,Akula Srivani,Anjan Kumar Akula,3112,5
106567631300522,The Shinde Sena,Ritesh Bhimrao Bhagat,3110,1
669198336772807,Audible,These ads ran without a disclaimer,3080,2
110555385263382,Jaagta Jammu,jaagtajammu.com,3038,4
104052753400618,Union Bank of India,Goldmine Advertising Limited,3034,5
109485930750665,Agni Herbbals,C Rajivkannu,3030,8
113125761613615,Namma CM Bommai,Recro Media,3020,21
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,2997,25
216506801885954,Pankaj Chaudhary,Yash Bagh,2986,3
110762181824589,Janata Dal Secular Again,MG Digital Agency,2980,2
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,2954,4
102781925497507,Karpagam Hospital,Karpagam hospital,2944,12
2131431707147401,AgriCentral,JIVA AGSERVICES PRIVATE LIMITED,2938,1
127511739040748,Babasaheb D Patil,Babasaheb D Patil,2935,1
107864648831408,Nammavar Kamal Haasan,Nammavar kamal hassan,2879,10
318205675275285,APL Apollo Tubes Limited,APL Apollo Tubes,2829,2
468797023251148,Bhumireddy Rama Gopal Reddy,Sai Srinivas Reddy Bhumireddy,2827,7
102754365335887,Udhay Anna,Udhay Anna,2820,11
111761291420680,Santosh Bilgundi,Santosh Bilgundi,2787,1
108536391949423,जनसेवक मंच,Pankaj Sharma,2759,14
114905439949088,Karuna Ashok Chandak,Coceptual Media,2754,26
103249462660090,TH Suresh Babu,Bharath Raj,2749,2
1559211387686845,Log 9 Materials,Log 9 Materials Scientific Private Limited,2674,10
10423517786,Harvard Business Review,These ads ran without a disclaimer,2652,1
219839024870824,Dr. Ramesh Chennamaneni,Dr. Ramesh Chennamaneni,2640,2
347337386104390,Rama Chandra Yadav,B Ramachandra,2633,1
100941092921616,Ashok Kularia,Rahul,2623,5
109707661884154,Indian Compass,theindiancompass.com,2594,26
355739144465220,BJP Madhya Pradesh,Bharatiya Janata Party (BJP),2506,4
225469604484322,"GI Tagged - Geographical Indications, India",GiTAGGED,2459,3
112503028387913,Dr. Manik Saha Fan Club,www.maniksahafanclub.com,2458,3
634229723611650,Yuva Galam,Showtime Consulting,2457,6
110115671863420,Kacche Din,Kacche Din,2438,10
1785302198354679,Dr. Somendra Tomar,Somendra Singh,2414,11
104136199047870,Bharat Todo Gang - भारत तोड़ो गैंग,Bharat Todo Gang - भारत तोड़ो गैंग,2411,11
109759257551393,Pro Punjab Tv,Pro Punjab Tv,2355,2
2610079412396734,Amaresh Rai,Amaresh Kumar Rai,2341,5
515733388449554,Sunil Parihar,Divyesh Parihar,2328,2
210251616112761,India Development Review,India Development Review,2299,14
