Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,1187,1
114601521910,Jorge Aldana,Jorge  Aldana,1181,8
110882925332549,Yani Rosenthal,Yani Benjamin Rosenthal Hidalgo,558,2
459107311130639,Dr. Luther Harry,Dr. Luther Harry,312,3
486382251906084,Honduras El Pais,Diario El  Pais.hn,194,4
1392592317738074,Jorge Cálix,Jorge Cálix,182,5
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,169,1
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),115,1
104599735671754,Goberna Honduras,Goberna Honduras,≤100,3
109459948457740,Gustavo Caceres Diputado,Gustavo Alberto Caceres Banegas,≤100,2
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
112217765061942,Marcos Ramiro Lobo Rosales,These ads ran without a disclaimer,≤100,1
104853645903563,Excellent Book,These ads ran without a disclaimer,≤100,1
