Location name,Amount spent (RON)
Alba County,498
Arad County,592
Argeș County,787
Bacău County,954
Bihor County,990
Bistrița-Năsăud County,381
Botoșani County,487
Brașov County,992
Brăila County,352
Bucharest,4557
Buzău County,559
Caraș-Severin County,312
Cluj County,1569
Constanța County,1163
Covasna County,317
Călărași County,312
Dolj County,1785
Dâmbovița County,680
Galați County,659
Giurgiu County,326
Gorj County,507
Harghita County,662
Hunedoara County,712
Ialomița County,345
Iași County,2647
Ilfov County,572
Maramureș County,641
Mehedinți County,296
Mureș County,951
Neamț County,885
Olt County,382
Prahova County,1180
Satu Mare County,439
Sibiu County,913
Suceava County,861
Sălaj County,495
Teleorman County,323
Timiș County,1173
Tulcea County,315
Unknown,≤100
Vaslui County,393
Vrancea County,480
Vâlcea County,748
