Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,407,1
964080723662055,Carlos Subirana Responde,Editorial CSS,318,1
106403237850347,Goberna Bolivia,Goberna,127,16
797815127058039,Delighttourscancun,These ads ran without a disclaimer,≤100,1
1001362903237408,Cochabamba Concejo Municipal,Cochabamba Concejo Municipal,≤100,1
181646422172306,FAM BOLIVIA,Edwin Quispe Ortiz,≤100,1
100301178044225,Viralcom,ViralComtv,≤100,1
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100,1
101868822831359,Franz Calderón,Gabo Porcel,≤100,1
127871740620547,Agustín Zambrana en El Bunker,Walter Agustin Zambrana Arze,≤100,1
517750071766113,SEDES - BENI,Cedecap Bolivia,≤100,1
165042833621264,Schneider Electric,These ads ran without a disclaimer,≤100,1
331406083686277,Vladimir Peña,Vladimir Ariel Peña Virhuez,≤100,1
110487964807800,Justicia para la gente,These ads ran without a disclaimer,≤100,1
102351595022048,Carlos Montaño Alcalde,Richard Chambi Gutierrez,≤100,2
1967100150206417,Instituto de Formación Femenina Integral - IFFI,Maya Fatima Garcia Rodriguez,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,2
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
107624024769383,jerrymcgrath,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
1708788089341925,Polaris Awards,These ads ran without a disclaimer,≤100,2
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
