Location name,Amount spent (HUF)
Baranya County,91707
Borsod-Abaúj-Zemplén County,125927
Budapest,538006
Bács-Kiskun County,95152
Békés County,67490
Csongrád County,107830
Fejér County,88250
Győr-Moson-Sopron County,87643
Hajdú-Bihar County,147763
Heves County,63092
Jász-Nagykun-Szolnok County,72382
Komárom-Esztergom County,62211
Nógrád County,37603
Pest County,208830
Somogy County,61559
Szabolcs-Szatmár-Bereg County,110359
Tolna County,46996
Unknown,≤100
Vas County,52865
Veszprém County,70832
Zala County,55922
