Location name,Amount spent (MXN)
Aguascalientes,4707
Baja California,12629
Baja California Sur,8503
Campeche,11830
Chiapas,10573
Chihuahua,18451
Coahuila de Zaragoza,32064
Colima,2172
Distrito Federal,94488
Durango,4649
Guanajuato,28650
Guerrero,7892
Hidalgo,7411
Jalisco,83233
Michoacán de Ocampo,28497
Morelos,8599
Nayarit,2503
Nuevo León,105961
Oaxaca,8619
Puebla,13959
Querétaro Arteaga,23169
Quintana Roo,17884
San Luis Potosi,10850
Sinaloa,6971
Sonora,13278
State of Mexico,54263
Tabasco,12107
Tamaulipas,23951
Tlaxcala,2746
Unknown,≤100
Veracruz,17696
Yucatán,17066
Zacatecas,4181
