Location name,Amount spent (THB)
Amnat Charoen,172
Ang Thong,154
Ayutthaya,822
Bangkok,13759
Bueng Kan,185
Buriram,674
Chachoengsao,595
Chai Nat,185
Chaiyaphum,619
Chanthaburi,438
Chiang Mai,1672
Chiang Rai,936
Chon Buri,2752
Chumphon,319
Kalasin,398
Kamphaeng Phet,944
Kanchanaburi,840
Khon Kaen,977
Krabi,444
Lampang,1979
Lamphun,301
Loei,391
Lop Buri,411
Mae Hong Son,243
Maha Sarakham,615
Mukdahan,138
Nakhon Nayok,265
Nakhon Pathom,999
Nakhon Phanom,289
Nakhon Ratchasima,1640
Nakhon Sawan,959
Nakhon Si Thammarat,1130
Nan,219
Narathiwat,391
Nong Bua Lam Phu,231
Nong Khai,285
Nonthaburi,1230
Pathum Thani,854
Pattani,413
Phangnga,181
Phatthalung,517
Phayao,319
Phetchabun,437
Phetchaburi,456
Phichit,489
Phitsanulok,1141
Phrae,359
Phuket,438
Prachin Buri,476
Prachuap Khiri Khan,601
Ranong,164
Ratchaburi,684
Rayong,1166
Roi Et,456
Sa Kaeo,2134
Sakon Nakhon,612
Samut Prakan,787
Samut Sakhon,2875
Samut Songkhram,142
Saraburi,511
Satun,144
Sing Buri,116
Sisaket,519
Songkhla,1231
Sukhothai,396
Suphan Buri,584
Surat Thani,2233
Surin,619
Tak,252
Trang,526
Trat,143
Ubon Ratchathani,1274
Udon Thani,745
Unknown,≤100
Uthai Thani,149
Uttaradit,358
Yala Province,261
Yasothon,281
