Location name,Amount spent (CZK)
Central Bohemian Region,7339
Hradec Králové Region,3204
Karlovy Vary Region,2315
Liberec Region,2776
Moravian-Silesian Region,8568
Olomouc Region,4756
Pardubice Region,3211
Plzeň Region,4037
Prague,15327
South Bohemian Region,3979
South Moravian Region,9181
Unknown,≤100
Vysočina Region,2695
Zlín Region,3884
Ústí nad Labem Region,6419
