Location name,Amount spent (CAD)
Alberta,8735
British Columbia,11154
Manitoba,3202
New Brunswick,1217
Newfoundland and Labrador,776
Northwest Territories,≤100
Nova Scotia,1452
Nunavut,≤100
Ontario,21388
Prince Edward Island,197
Quebec,14300
Saskatchewan,2733
Unknown,≤100
Yukon,≤100
