Location name,Amount spent (TRY)
Adana Province,624
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,144
Amasya Province,≤100
Ankara Province,3273
Antalya Province,1818
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,253
Ağrı Province,≤100
Balıkesir Province,334
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,704
Denizli Province,247
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,291
Gaziantep Province,265
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,354
Isparta Province,108
Istanbul Province,17550
Iğdır Province,≤100
Kahramanmaraş Province,112
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,352
Kayseri Province,148
Kilis Province,≤100
Kocaeli Province,351
Konya Province,289
Kütahya Province,≤100
Kırklareli Province,132
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,227
Mardin Province,≤100
Mersin Province,490
Muğla Province,373
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,753
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,753
Tokat Province,≤100
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,110
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1735
Şanlıurfa Province,130
Şırnak Province,≤100
