Location name,Amount spent (PEN)
Amazonas Region,111
Ancash Region,466
Apurímac Region,166
Arequipa Region,597
Ayacucho Region,287
Cajamarca Region,460
Callao,232
Cusco Region,736
Huancavelica Region,≤100
Huánuco Region,264
Ica Region,399
Junín Region,499
La Libertad Region,713
Lambayeque Region,489
Lima Region,3854
Loreto Region,302
Madre de Dios Region,136
Moquegua Region,≤100
Pasco Region,127
Piura Region,724
Puno Region,551
San Martín Region,329
Tacna Region,178
Tumbes Region,115
Ucayali Region,250
Unknown,≤100
