Location name,Amount spent (DKK)
Capital Region of Denmark,44911
Central Denmark Region,26830
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12599
Region of Southern Denmark,26476
Unknown,≤100
Zealand Region,14500
