Location name,Amount spent (GTQ)
Alta Verapaz Department,2231
Baja Verapaz Department,626
Chimaltenango Department,2312
Chiquimula Department,1140
El Progreso Department,624
Escuintla Department,3067
Guatemala Department,42930
Huehuetenango Department,2856
Izabal Department,1827
Jalapa Department,939
Jutiapa Department,2062
Petén Department,1361
Quetzaltenango Department,4177
Quiché Department,1890
Retalhuleu Department,1248
Sacatepéquez Department,2566
San Marcos Department,6871
Santa Rosa Department,1114
Sololá Department,1605
Suchitepéquez Department,1649
Totonicapán Department,1162
Unknown,≤100
Zacapa Department,762
