Location name,Amount spent (CZK)
Central Bohemian Region,19121
Hradec Králové Region,7771
Karlovy Vary Region,4053
Liberec Region,6428
Moravian-Silesian Region,14966
Olomouc Region,8346
Pardubice Region,6726
Plzeň Region,8525
Prague,40105
South Bohemian Region,8495
South Moravian Region,22074
Unknown,≤100
Vysočina Region,5967
Zlín Region,7410
Ústí nad Labem Region,11586
