Location name,Amount spent (INR)
Andaman and Nicobar Islands,301
Andhra Pradesh,30634
Arunachal Pradesh,1412
Assam,27423
Bihar,84400
Chandigarh,3668
Chhattisgarh,26493
Dadra and Nagar Haveli,2014
Delhi,74327
Goa,3500
Gujarat,75131
Haryana,48315
Himachal Pradesh,15567
Jammu and Kashmir,13947
Jharkhand,23101
Karnataka,141216
Kerala,28247
Lakshadweep,≤100
Madhya Pradesh,62039
Maharashtra,211509
Manipur,2871
Meghalaya,43711
Mizoram,1288
Nagaland,1231
Odisha,20980
Puducherry,3060
Punjab region,52569
Rajasthan,105701
Sikkim,2187
Tamil Nadu,70411
Telangana,45214
Tripura,8913
Unknown,≤100
Uttar Pradesh,166430
Uttarakhand,16783
West Bengal,100126
