Location name,Amount spent (DKK)
Capital Region of Denmark,49572
Central Denmark Region,26740
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12373
Region of Southern Denmark,24673
Unknown,≤100
Zealand Region,16287
