Location name,Amount spent (AUD)
Australian Capital Territory,3155
Jervis Bay Territory,≤100
New South Wales,15191
Norfolk Island,≤100
Northern Territory,430
Queensland,11576
South Australia,4194
Tasmania,1811
Unknown,≤100
Victoria,13784
Western Australia,5887
